Tempo(ms),X(Graus),Y(Graus),Z(Graus)
0,1,1,1
0,0.925673,0.062620,9.539396
10,0.951859,0.040328,9.538899
20,0.975199,0.011372,9.530973
30,0.993633,-0.018553,9.513599
40,1.003791,-0.041371,9.492112
50,1.006337,-0.057383,9.467090
60,1.004259,-0.069133,9.441236
70,1.001818,-0.077776,9.414828
80,1.001189,-0.090639,9.383667
90,0.999142,-0.110159,9.346312
100,0.996102,-0.134567,9.305226
110,0.993081,-0.163128,9.263789
120,0.985480,-0.195643,9.221952
130,0.975203,-0.228558,9.181048
140,0.963451,-0.264855,9.139491
150,0.954807,-0.307601,9.099979
160,0.957923,-0.366375,9.067948
170,0.987589,-0.441210,9.044820
180,1.053576,-0.521753,9.029227
190,1.163277,-0.602296,9.018155
200,1.321874,-0.696927,9.007381
210,1.525142,-0.820131,8.998114
220,1.769963,-0.989810,8.995647
230,2.065804,-1.231304,9.017557
240,2.443214,-1.558655,9.076621
250,2.950160,-1.984076,9.173718
260,3.605980,-2.513711,9.307688
270,4.403944,-3.144749,9.466692
280,5.330172,-3.866895,9.636248
290,6.373379,-4.691528,9.802449
300,7.526658,-5.644094,9.959340
310,8.800555,-6.751400,10.121016
320,10.220050,-8.058967,10.303166
330,11.806750,-9.567913,10.513981
340,13.621582,-11.282214,10.684373
350,15.572259,-13.087085,10.717587
360,17.468732,-14.860325,10.558988
370,19.141213,-16.514372,10.218423
380,20.454940,-17.916953,9.753385
390,21.324788,-18.982856,9.271157
400,21.741657,-19.730864,8.854362
410,21.781966,-20.231201,8.559693
420,21.539002,-20.532228,8.404279
430,21.126472,-20.717800,8.359689
440,20.631088,-20.863610,8.383304
450,20.119572,-21.024966,8.426378
460,19.676099,-21.270763,8.443423
470,19.358220,-21.623136,8.390460
480,19.167680,-22.074909,8.240038
490,19.102923,-22.597285,7.987169
500,19.157247,-23.186081,7.635262
510,19.311709,-23.876685,7.200528
520,19.528561,-24.661988,6.698987
530,19.774495,-25.524126,6.153098
540,20.061358,-26.496393,5.574263
550,20.403736,-27.614940,4.953894
560,20.809111,-28.878221,4.252486
570,21.255472,-30.255061,3.457056
580,21.716772,-31.706745,2.591380
590,22.190862,-33.224259,1.681187
600,22.685269,-34.780045,0.735935
610,23.181902,-36.313243,-0.218588
620,23.655234,-37.685420,-1.128926
630,24.077564,-38.812928,-1.944578
640,24.416708,-39.690440,-2.608981
650,24.616066,-40.335710,-3.050263
660,24.673815,-40.851179,-3.298524
670,24.632760,-41.335486,-3.425607
680,24.519356,-41.823635,-3.473464
690,24.381072,-42.327995,-3.495648
700,24.244391,-42.842038,-3.497652
710,24.122876,-43.350167,-3.456785
720,24.023198,-43.861500,-3.373667
730,23.963528,-44.379881,-3.259870
740,23.926417,-44.846997,-3.084070
750,23.857061,-45.141361,-2.776397
760,23.596364,-45.079422,-2.106319
770,23.091077,-44.572076,-0.931804
780,22.311736,-43.394868,0.845191
790,21.252671,-41.294972,3.304221
800,19.998711,-38.213716,6.420478
810,18.722040,-34.404600,9.990933
820,17.602578,-30.272741,13.644318
830,16.619028,-26.291757,16.921805
840,15.704037,-22.665964,19.590191
850,14.819611,-19.330481,21.685084
860,13.950624,-16.082977,23.391805
870,13.186601,-12.664829,24.913107
880,12.692278,-9.015475,26.351253
890,12.592113,-5.251611,27.721212
900,12.887177,-1.459626,29.118054
910,13.560180,2.348437,30.604589
920,14.552261,6.096810,32.203868
930,15.718376,9.692657,33.797897
940,17.009102,13.231157,35.430002
950,18.398285,16.803398,37.144694
960,19.864339,20.452579,38.960966
970,21.375975,24.136814,40.862549
980,22.963013,27.775461,42.847215
990,24.683955,31.279939,44.961346
1000,26.559892,34.571783,47.238100
1010,28.596085,37.560826,49.649411
1020,30.782976,40.152506,52.180860
1030,33.124774,42.228138,54.813142
1040,35.611459,43.750564,57.514460
1050,38.140414,44.778812,60.191894
1060,40.644146,45.346088,62.777731
1070,43.055242,45.486458,65.181583
1080,45.283896,45.215497,67.305396
1090,47.270957,44.591437,69.113539
1100,48.994313,43.671616,70.616616
1110,50.453538,42.459588,71.870885
1120,51.625878,40.943071,72.923677
1130,52.491548,39.088246,73.833558
1140,53.074971,36.836245,74.567422
1150,53.454184,34.148589,75.018984
1160,53.704789,31.065601,75.191437
1170,53.879204,27.612775,75.085859
1180,53.987569,23.816325,74.718456
1190,54.025375,19.698865,74.118070
1200,53.979128,15.298386,73.329881
1210,53.830073,10.664277,72.427591
1220,53.596515,5.856417,71.502399
1230,53.347514,0.950810,70.620236
1240,53.171786,-3.925546,69.812664
1250,53.109625,-8.590822,69.080672
1260,53.183264,-12.821261,68.453048
1270,53.348110,-16.446853,67.980945
1280,53.534029,-19.379107,67.686020
1290,53.616615,-21.561593,67.618620
1300,53.517915,-23.076102,67.748060
1310,53.195358,-24.089143,68.000462
1320,52.654198,-24.776684,68.328449
1330,51.948680,-25.279475,68.656149
1340,51.206201,-25.689203,68.833903
1350,50.534794,-26.059214,68.724884
1360,49.998581,-26.388507,68.264322
1370,49.549631,-26.683638,67.470066
1380,49.061643,-26.934325,66.451345
1390,48.437977,-27.150116,65.271960
1400,47.628211,-27.319918,63.969983
1410,46.666838,-27.479611,62.492308
1420,45.614512,-27.723128,60.697633
1430,44.444479,-28.107596,58.539593
1440,43.206988,-28.573723,56.032420
1450,41.982282,-29.139034,53.158803
1460,40.832120,-29.843299,49.917407
1470,39.851532,-30.665186,46.354418
1480,39.179820,-31.595528,42.503616
1490,38.835935,-32.632384,38.435526
1500,38.726247,-33.767047,34.247232
1510,38.783911,-35.046289,29.962127
1520,38.926140,-36.487089,25.587123
1530,39.115634,-38.213449,21.076045
1540,39.321226,-40.197191,16.422557
1550,39.652224,-42.229951,11.583331
1560,40.062382,-44.081931,6.708917
1570,40.450662,-45.512546,2.112116
1580,40.734329,-46.523210,-2.084894
1590,40.830852,-47.272217,-5.747887
1600,40.867759,-47.920229,-9.014022
1610,40.692469,-48.508587,-11.801051
1620,40.167563,-48.938249,-14.049715
1630,39.328660,-49.199571,-15.848494
1640,38.209225,-49.343482,-17.323277
1650,36.824989,-49.370716,-18.473527
1660,35.191502,-49.247724,-19.369907
1670,33.136946,-48.873484,-19.913295
1680,30.535842,-48.244123,-20.006773
1690,27.420258,-47.346994,-19.587444
1700,24.044473,-46.170561,-18.744046
1710,20.610741,-44.687406,-17.565832
1720,17.218450,-42.847656,-16.155737
1730,13.906788,-40.603319,-14.632751
1740,10.717408,-37.986101,-13.143900
1750,7.745811,-35.125191,-11.820586
1760,5.143645,-32.209658,-10.745992
1770,3.009833,-29.295723,-9.893110
1780,1.289012,-26.316633,-9.119142
1790,-0.102519,-23.297416,-8.287576
1800,-1.222208,-20.368545,-7.399815
1810,-2.108986,-17.562607,-6.567135
1820,-2.832156,-14.768924,-5.860619
1830,-3.443644,-12.000514,-5.313284
1840,-3.955655,-9.259315,-4.876042
1850,-4.375707,-6.487121,-4.508469
1860,-4.700167,-3.648149,-4.195308
1870,-4.911984,-0.676902,-3.929280
1880,-5.051934,2.428745,-3.664324
1890,-5.144735,5.666509,-3.321373
1900,-5.154402,9.100013,-2.805229
1910,-5.075794,12.708220,-2.091675
1920,-4.945151,16.365678,-1.236990
1930,-4.773694,19.957718,-0.280380
1940,-4.504825,23.454068,0.806278
1950,-4.061877,26.884023,2.080488
1960,-3.338990,30.253951,3.649677
1970,-2.274525,33.558024,5.532330
1980,-0.874723,36.778164,7.661753
1990,0.851343,39.875379,10.009293
2000,2.952601,42.824584,12.625561
2010,5.515410,45.567209,15.654889
2020,8.614092,47.987189,19.222788
2030,12.235998,49.981246,23.380848
2040,16.359994,51.476224,28.141569
2050,20.913642,52.392414,33.507439
2060,25.695275,52.620532,39.325889
2070,30.431119,52.071509,45.293407
2080,34.840267,50.694761,51.022383
2090,38.698569,48.499258,56.169397
2100,41.931932,45.573624,60.603261
2110,44.594793,42.006853,64.359496
2120,46.793580,37.856865,67.503316
2130,48.601969,33.204151,70.078734
2140,50.046644,28.138628,72.090739
2150,51.224148,22.705541,73.592367
2160,52.221029,16.930110,74.616789
2170,53.081906,10.844444,75.256967
2180,53.804011,4.507151,75.649371
2190,54.394766,-2.011135,75.897398
2200,54.860960,-8.567621,76.090587
2210,55.304916,-15.008578,76.223806
2220,55.889874,-21.199403,76.229748
2230,56.648394,-26.963639,76.043230
2240,57.498736,-32.224763,75.572564
2250,58.233997,-36.974068,74.861015
2260,58.633078,-41.227429,74.072813
2270,58.734797,-44.923904,73.267675
2280,58.798214,-48.024599,72.276559
2290,59.026132,-50.447211,71.030337
2300,59.652844,-52.136695,69.376977
2310,60.503518,-53.158512,67.478222
2320,61.372244,-53.672111,65.492085
2330,62.158246,-53.834104,63.510305
2340,62.825025,-53.798669,61.592467
2350,63.425122,-53.687516,59.724094
2360,64.061942,-53.601194,57.795122
2370,64.918788,-53.592125,55.581446
2380,66.105192,-53.657554,52.908708
2390,67.614248,-53.767342,49.764414
2400,69.408325,-53.871561,46.169469
2410,71.459181,-53.909867,42.116124
2420,73.702792,-53.814311,37.618128
2430,75.838182,-53.468457,32.999202
2440,77.652487,-52.833963,28.556150
2450,79.175204,-51.931556,24.299371
2460,80.391675,-50.803785,20.263992
2470,81.164086,-49.502874,16.515227
2480,81.395508,-48.044882,13.034385
2490,80.990210,-46.435473,9.820578
2500,79.967592,-44.697648,6.834756
2510,78.368388,-42.739634,3.979602
2520,76.097171,-40.490463,1.457753
2530,73.142134,-37.951493,-0.483187
2540,69.760514,-35.244581,-2.068616
2550,66.035218,-32.524856,-3.477833
2560,61.999897,-30.163043,-4.944501
2570,57.705506,-28.297108,-6.434026
2580,53.512653,-26.781351,-8.100475
2590,49.518721,-25.500257,-9.928531
2600,45.717747,-24.363682,-11.909719
2610,42.387738,-23.559637,-14.019976
2620,39.438817,-23.016358,-15.843970
2630,36.843274,-22.764961,-17.250183
