tempo, w
0, 1
0, 0.100671
0, 0.150592
0, 0.200309
0, 0.249807
0, 0.298991
0, 0.347885
0, 0.396515
0, 0.444989
0, 0.493257
0, 0.541221
0, 0.588881
0, 0.636308
0, 0.683594
0, 0.730623
0, 0.777335
0, 0.823762
0, 0.870000
0, 0.916045
0, 0.961777
0, 1.007223
0, 1.052369
0, 1.097361
0, 1.142114
0, 1.186551
0, 1.230689
0, 1.274552
0, 1.318247
0, 1.361704
0, 1.404847
0, 1.447692
0, 1.490293
0, 1.532773
0, 1.574998
0, 1.616890
0, 1.658532
0, 1.699953
0, 1.741275
0, 1.782363
0, 1.823128
0, 1.863632
0, 1.903953
0, 1.944184
0, 1.984170
0, 2.023850
0, 2.063299
0, 2.102590
0, 2.141784
0, 2.180746
0, 2.219419
0, 2.257858
0, 2.296153
0, 2.334345
0, 2.372304
0, 2.409959
0, 2.447425
0, 2.484731
0, 2.521897
0, 2.558857
0, 2.595510
0, 2.631971
0, 2.668245
0, 2.704369
0, 2.740307
0, 2.775986
0, 2.811396
0, 2.846599
0, 2.881661
0, 2.916572
0, 2.951175
0, 2.985528
0, 3.019680
0, 3.053658
0, 3.087439
0, 3.121007
0, -3.128929
0, -3.095897
0, -3.063028
0, -3.030345
0, -2.997879
0, -2.965669
0, -2.933713
0, -2.901972
0, -2.870415
0, -2.839003
0, -2.807850
0, -2.776997
0, -2.746317
0, -2.715839
0, -2.685537
0, -2.655423
0, -2.625550
0, -2.595905
0, -2.566467
0, -2.537169
0, -2.508040
0, -2.479103
0, -2.450418
0, -2.421915
0, -2.393595
0, -2.365447
0, -2.337422
0, -2.309603
0, -2.282031
0, -2.254602
0, -2.227339
0, -2.200214
0, -2.173248
0, -2.146490
0, -2.119944
0, -2.093563
0, -2.067317
0, -2.041195
0, -2.015250
0, -1.989497
0, -1.963942
0, -1.938553
0, -1.913297
0, -1.888161
0, -1.863181
0, -1.838412
0, -1.813825
0, -1.789408
0, -1.765081
0, -1.740892
0, -1.716861
0, -1.693029
0, -1.669366
0, -1.645868
0, -1.622487
0, -1.599244
0, -1.576159
0, -1.553247
0, -1.530513
0, -1.507935
0, -1.485482
0, -1.463147
0, -1.440978
0, -1.418990
0, -1.397202
0, -1.375530
0, -1.353997
0, -1.332596
0, -1.311330
0, -1.290260
0, -1.269382
0, -1.248637
0, -1.228041
0, -1.207570
0, -1.187177
0, -1.166994
