tempo, ref, theta
0, 1, 2
0.544000, 0.000000, 1.474401
0.554000, 0.000000, 2.224780
0.564000, 0.000000, 2.968516
0.574000, 0.000000, 3.704345
0.584000, 0.000000, 4.434031
0.594000, 0.000000, 5.161530
0.604000, 0.000000, 5.884703
0.614000, 0.000000, 6.605758
0.624000, 0.000000, 7.321042
0.634000, 0.000000, 8.031155
0.644000, 0.000000, 8.735111
0.653000, 0.000000, 9.432351
0.664000, 0.000000, 10.122302
0.674000, 0.000000, 10.805271
0.684000, 0.000000, 11.485774
0.694000, 0.000000, 12.163157
0.704000, 0.000000, 12.837145
0.714000, 0.000000, 13.507769
0.724000, 0.000000, 14.173563
0.734000, 0.000000, 14.831429
0.744000, 0.000000, 15.482256
0.753000, 0.000000, 16.128508
0.764000, 0.000000, 16.771074
0.774000, 0.000000, 17.409697
0.784000, 0.000000, 18.044352
0.793000, 0.000000, 18.673500
0.804000, 0.000000, 19.298656
0.813000, 0.000000, 19.918322
0.824000, 0.000000, 20.532492
0.833000, 0.000000, 21.145441
0.844000, 0.000000, 21.751387
0.854000, 0.000000, 22.353945
0.864000, 0.000000, 22.954063
0.873000, 0.000000, 23.550543
0.884000, 0.000000, 24.142712
0.894000, 0.000000, 24.728794
0.904000, 0.000000, 25.309992
0.913000, 0.000000, 25.888430
0.923000, 0.000000, 26.461378
0.933000, 0.000000, 27.029150
0.944000, 0.000000, 27.592661
0.953000, 0.000000, 28.150383
0.963000, 0.000000, 28.700747
0.973000, 0.000000, 29.247149
0.983000, 0.000000, 29.789276
0.993000, 0.000000, 30.325615
1.003000, 0.000000, 30.858587
1.013000, 0.000000, 31.386049
1.023000, 0.000000, 31.906832
1.033000, 0.000000, 32.423943
1.043000, 0.000000, 32.936771
1.053000, 0.000000, 33.443493
1.063000, 0.000000, 33.948406
1.073000, 0.000000, 34.449936
1.083000, 0.000000, 34.945667
1.093000, 0.000000, 35.435886
1.103000, 0.000000, 35.922157
1.113000, 0.000000, 36.406918
1.123000, 0.000000, 36.890152
1.133000, 0.000000, 37.366375
1.143000, 0.000000, 37.839233
1.153000, 0.000000, 38.309010
1.163000, 0.000000, 38.773327
1.173000, 0.000000, 39.235214
1.183000, 0.000000, 39.694370
1.193000, 0.000000, 40.148014
1.203000, 0.000000, 40.596748
1.213000, 0.000000, 41.038185
1.223000, 0.000000, 41.477158
1.233000, 0.000000, 41.914024
1.243000, 0.000000, 42.345390
1.253000, 0.000000, 42.772789
1.263000, 0.000000, 43.194408
1.273000, 0.000000, 43.611717
1.283000, 0.000000, 44.022907
1.293000, 0.000000, 44.430492
1.303000, 0.000000, 44.834362
1.313000, 0.000000, 45.234001
1.323000, 0.000000, 45.630302
1.333000, 0.000000, 46.023525
1.343000, 0.000000, 46.414909
1.353000, 0.000000, 46.803543
1.363000, 0.000000, 47.188534
1.373000, 0.000000, 47.567444
1.383000, 0.000000, 47.940853
1.393000, 0.000000, 48.308147
1.403000, 0.000000, 48.662960
1.413000, 0.000000, 49.011585
1.423000, 0.000000, 49.353214
1.433000, 0.000000, 49.685081
1.443000, 0.000000, 50.012100
1.453000, 0.000000, 50.330296
1.463000, 0.000000, 50.642654
1.473000, 0.000000, 50.952251
1.483000, 0.000000, 51.253300
1.493000, 0.000000, 51.546978
1.503000, 0.000000, 51.835537
1.513000, 0.000000, 52.117050
1.523000, 0.000000, 52.390926
1.533000, 0.000000, 52.660240
1.543000, 0.000000, 52.924675
1.553000, 0.000000, 53.184208
1.563000, 0.000000, 53.440716
1.573000, 0.000000, 53.691090
1.583000, 0.000000, 53.938698
1.593000, 0.000000, 54.181732
1.603000, 0.000000, 54.417198
1.613000, 0.000000, 54.648693
1.623000, 0.000000, 54.875908
1.633000, 0.000000, 55.096989
1.643000, 0.000000, 55.314735
1.653000, 0.000000, 55.529110
1.663000, 0.000000, 55.741962
1.673000, 0.000000, 55.949917
1.683000, 0.000000, 56.154522
1.693000, 0.000000, 56.352112
1.703000, 0.000000, 56.544529
1.713000, 0.000000, 56.730225
1.723000, 0.000000, 56.909504
1.733000, 0.000000, 57.084183
1.743000, 0.000000, 57.252434
1.753000, 0.000000, 57.410011
1.763000, 0.000000, 57.558399
1.773000, 0.000000, 57.701622
1.783000, 0.000000, 57.840908
1.793000, 0.000000, 57.975937
1.803000, 0.000000, 58.105133
1.813000, 0.000000, 58.227608
1.823000, 0.000000, 58.343090
1.833000, 0.000000, 58.447468
1.843000, 0.000000, 58.543999
1.853000, 0.000000, 58.635048
1.863000, 0.000000, 58.716316
1.873000, 0.000000, 58.788101
1.883000, 0.000000, 58.850479
1.893000, 0.000000, 58.902798
1.903000, 0.000000, 58.950165
1.913000, 0.000000, 58.989853
1.923000, 0.000000, 59.017673
1.933000, 0.000000, 59.037861
1.943000, 0.000000, 59.052841
1.953000, 0.000000, 59.059589
1.963000, 0.000000, 59.057503
1.973000, 0.000000, 59.052967
1.983000, 0.000000, 59.042339
1.993000, 0.000000, 59.029873
2.003000, 0.000000, 59.016815
2.013000, 0.000000, 59.000690
2.023000, 0.000000, 58.978054
2.033000, 0.000000, 58.952171
2.043000, 0.000000, 58.924114
2.053000, 0.000000, 58.895695
2.063000, 0.000000, 58.868618
2.073000, 0.000000, 58.838451
2.083000, 0.000000, 58.803635
2.093000, 0.000000, 58.765572
2.103000, 0.000000, 58.727776
2.113000, 0.000000, 58.692139
2.123000, 0.000000, 58.654640
2.133000, 0.000000, 58.616501
2.143000, 0.000000, 58.578373
2.152000, 0.000000, 58.540234
2.162000, 0.000000, 58.501831
2.173000, 0.000000, 58.463718
2.182000, 0.000000, 58.424671
2.192000, 0.000000, 58.386856
2.202000, 0.000000, 58.348431
2.212000, 0.000000, 58.310307
2.223000, 0.000000, 58.274033
2.232000, 0.000000, 58.238327
2.242000, 0.000000, 58.201435
2.252000, 0.000000, 58.163013
2.262000, 0.000000, 58.127316
2.272000, 0.000000, 58.092247
2.282000, 0.000000, 58.057476
2.292000, 0.000000, 58.022404
2.303000, 0.000000, 57.987324
2.312000, 0.000000, 57.952545
2.322000, 0.000000, 57.918400
2.332000, 0.000000, 57.885147
2.342000, 0.000000, 57.852509
2.353000, 0.000000, 57.820160
2.362000, 0.000000, 57.788757
2.372000, 0.000000, 57.757046
2.383000, 0.000000, 57.724113
2.392000, 0.000000, 57.686882
2.402000, 0.000000, 57.647518
2.413000, 0.000000, 57.603580
2.422000, 0.000000, 57.559639
2.432000, 0.000000, 57.516018
2.442000, 0.000000, 57.467201
2.452000, 0.000000, 57.410469
2.462000, 0.000000, 57.345196
2.472000, 0.000000, 57.273785
2.482000, 0.000000, 57.201118
2.492000, 0.000000, 57.127571
2.502000, 0.000000, 57.054329
2.512000, 0.000000, 56.981083
2.522000, 0.000000, 56.904766
2.532000, 0.000000, 56.828773
2.542000, 0.000000, 56.747601
2.552000, 0.000000, 56.663036
2.562000, 0.000000, 56.578484
2.572000, 0.000000, 56.488747
2.582000, 0.000000, 56.393196
2.592000, 0.000000, 56.294903
2.602000, 0.000000, 56.196011
2.612000, 0.000000, 56.097130
2.622000, 0.000000, 56.000378
2.632000, 0.000000, 55.902096
2.642000, 0.000000, 55.802021
2.652000, 0.000000, 55.700691
2.662000, 0.000000, 55.597813
2.673000, 0.000000, 55.493717
2.682000, 0.000000, 55.386559
2.692000, 0.000000, 55.280014
2.702000, 0.000000, 55.169197
2.712000, 0.000000, 55.054428
2.722000, 0.000000, 54.939671
2.732000, 0.000000, 54.822781
2.742000, 0.000000, 54.708321
2.752000, 0.000000, 54.593891
2.762000, 0.000000, 54.480652
2.772000, 0.000000, 54.368637
2.782000, 0.000000, 54.256924
2.792000, 0.000000, 54.146740
2.802000, 0.000000, 54.033798
2.812000, 0.000000, 53.919926
2.822000, 0.000000, 53.805759
2.832000, 0.000000, 53.691582
2.842000, 0.000000, 53.578918
2.852000, 0.000000, 53.458912
2.862000, 0.000000, 53.334049
2.872000, 0.000000, 53.208862
2.882000, 0.000000, 53.080917
2.892000, 0.000000, 52.953621
2.902000, 0.000000, 52.826927
2.912000, 0.000000, 52.700245
2.922000, 0.000000, 52.575119
2.932000, 0.000000, 52.448429
2.942000, 0.000000, 52.323261
2.952000, 0.000000, 52.199020
2.962000, 0.000000, 52.075077
2.972000, 0.000000, 51.950848
2.982000, 0.000000, 51.827553
2.992000, 0.000000, 51.705151
3.002000, 0.000000, 51.582752
3.012000, 0.000000, 51.459709
3.022000, 0.000000, 51.329670
3.032000, 0.000000, 51.192921
3.042000, 0.000000, 51.056164
3.052000, 0.000000, 50.919109
3.062000, 0.000000, 50.781441
3.072000, 0.000000, 50.640717
3.082000, 0.000000, 50.499973
3.092000, 0.000000, 50.361382
