tempo, ref, theta, w, u
0, 1, 2, 3, 4
0.559000, 90.000000, 7.723517, 384.338379, -29.742817
0.569000, 90.000000, 11.553778, 382.690430, -29.929911
0.579000, 90.000000, 15.373916, 381.713867, -30.167938
0.589000, 90.000000, 19.184677, 380.798340, -30.410755
0.599000, 90.000000, 22.984409, 379.638672, -30.635115
0.609000, 90.000000, 26.774708, 378.601074, -30.868876
0.618000, 90.000000, 30.554682, 377.685547, -31.111958
0.628000, 90.000000, 34.323658, 376.464844, -31.331957
0.638000, 90.000000, 38.086067, 375.976562, -31.607800
0.648000, 90.000000, 41.838261, 375.000000, -31.846764
0.659000, 90.000000, 45.581879, 374.084473, -32.090569
0.668000, 90.000000, 49.308727, 372.192383, -32.259960
0.678000, 90.000000, 53.024792, 371.093750, -32.489433
0.688000, 90.000000, 56.727112, 369.873047, -32.709435
0.699000, 90.000000, 60.373196, 361.938477, -32.417259
0.708000, 90.000000, 63.940384, 356.323242, -32.294739
0.718000, 90.000000, 67.485725, 353.698730, -32.397636
0.728000, 90.000000, 71.008461, 351.318359, -32.517963
0.738000, 90.000000, 74.469971, 344.299316, -32.282726
0.748000, 90.000000, 77.857964, 336.853027, -32.009647
0.758000, 90.000000, 81.193932, 332.946777, -32.000904
0.768000, 90.000000, 84.509216, 330.932617, -32.134449
0.778000, 90.000000, 87.804893, 328.979492, -32.271767
0.788000, 90.000000, 91.079887, 326.904297, -32.398895
0.798000, 90.000000, 94.330986, 324.462891, -32.497066
0.808000, 90.000000, 97.560303, 322.326660, -32.617287
0.818000, 90.000000, 100.768471, 320.251465, -32.741123
0.828000, 90.000000, 103.944771, 315.795898, -32.682819
0.838000, 90.000000, 107.058327, 310.974121, -32.592155
0.848000, 90.000000, 110.137329, 306.213379, -32.503914
0.858000, 90.000000, 113.150093, 299.377441, -32.253613
0.868000, 90.000000, 116.090775, 292.358398, -31.983959
0.878000, 90.000000, 118.976494, 287.780762, -31.895100
0.888000, 90.000000, 121.834862, 285.034180, -31.943216
0.898000, 90.000000, 124.664917, 282.226562, -31.984989
0.908000, 90.000000, 127.465553, 279.174805, -32.006454
0.918000, 90.000000, 130.233688, 275.939941, -32.011951
0.928000, 90.000000, 132.969757, 272.766113, -32.019997
0.938000, 90.000000, 135.676178, 269.897461, -32.049271
0.948000, 90.000000, 138.352478, 266.723633, -32.053520
0.958000, 90.000000, 141.000687, 264.343262, -32.116085
0.968000, 90.000000, 143.631180, 262.084961, -32.187031
0.978000, 90.000000, 146.237823, 260.131836, -32.279686
0.988000, 90.000000, 148.803467, 255.004883, -32.129189
0.998000, 90.000000, 151.303329, 248.229980, -31.848883
1.008000, 90.000000, 153.731873, 241.027832, -31.530678
1.018000, 90.000000, 156.100357, 235.534668, -31.337246
1.028000, 90.000000, 158.430069, 232.177734, -31.302767
1.038000, 90.000000, 160.726471, 228.637695, -31.252132
1.048000, 90.000000, 162.983185, 224.487305, -31.152433
1.058000, 90.000000, 165.197037, 220.092773, -31.031111
1.068000, 90.000000, 167.368576, 216.003418, -30.929779
1.078000, 90.000000, 169.496353, 211.486816, -30.792862
1.088000, 90.000000, 171.571579, 205.383301, -30.531792
1.098000, 90.000000, 173.583054, 200.622559, -30.367363
1.108000, 90.000000, 175.579819, 199.218750, -30.456295
1.118000, 90.000000, 177.560944, 197.570801, -30.525898
1.128000, 90.000000, 179.524872, 195.800781, -30.585278
1.138000, 90.000000, -178.534393, 193.237305, 0.721797
1.148000, 90.000000, -176.613434, 191.711426, 0.739545
1.158000, 90.000000, -174.704330, 190.551758, 0.730106
1.168000, 90.000000, -172.801544, 190.002441, 0.674521
1.178000, 90.000000, -170.910904, 188.659668, 0.679565
1.188000, 90.000000, -169.027283, 188.110352, 0.624668
1.198000, 90.000000, -167.153076, 187.072754, 0.607065
1.208000, 90.000000, -165.287704, 186.340332, 0.566646
1.218000, 90.000000, -163.431244, 185.241699, 0.554243
1.228000, 90.000000, -161.585388, 184.326172, 0.528422
1.238000, 90.000000, -159.748215, 183.288574, 0.512120
1.248000, 90.000000, -157.922379, 182.312012, 0.491710
1.258000, 90.000000, -156.103027, 181.640625, 0.448291
1.268000, 90.000000, -154.294876, 180.541992, 0.437718
